DRUG_NAME,ModelID,COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,LN_IC50
123138,ACH-000427,908461,NCI-N87,STAD,3.582809
123138,ACH-000429,910920,A704,KIRC,3.18984
123138,ACH-000430,909774,TYK-nu,UNCLASSIFIED,4.173568
123138,ACH-000431,688006,NCI-H1694,SCLC,3.068942
123138,ACH-000434,1240184,NCI-H1915,UNCLASSIFIED,3.645328
123138,ACH-000437,909745,SW1088,GBM,3.747664
123138,ACH-000438,724863,LU-65,UNCLASSIFIED,2.076465
123138,ACH-000439,1330942,ME-1,LAML,2.692925
123138,ACH-000440,910703,CA46,UNCLASSIFIED,3.182329
123138,ACH-000441,909713,SH-4,SKCM,3.330461
123138,ACH-000442,1298538,RERF-LC-Sq1,LUSC,3.292223
123138,ACH-000447,687816,NCI-H2228,LUAD,2.801119
123138,ACH-000448,908473,NCI-H1666,LUAD,4.353547
123138,ACH-000449,908127,MES-SA,UNCLASSIFIED,1.657294
123138,ACH-000451,687812,NCI-H2085,LUAD,3.114272
123138,ACH-000452,753623,TE-8,ESCA,3.297222
123138,ACH-000456,924104,B-CPAP,THCA,3.508332
123138,ACH-000457,910952,CAL-54,KIRC,3.34108
123138,ACH-000464,910943,CAS-1,GBM,3.965924
123138,ACH-000469,909905,YH-13,GBM,2.046201
123138,ACH-000470,909748,SW1463,COREAD,2.547985
123138,ACH-000472,753562,HSC-2,HNSC,2.928637
123138,ACH-000473,909704,RT-112,BLCA,2.781974
123138,ACH-000475,1298146,huH-1,LIHC,2.890277
123138,ACH-000476,1240158,JHH-4,LIHC,3.01326
123138,ACH-000478,909736,SNU-387,LIHC,3.079906
123138,ACH-000480,907071,HuH-7,LIHC,3.652932
123138,ACH-000481,687815,NCI-H2170,LUSC,3.237031
123138,ACH-000482,1298537,RERF-LC-KJ,LUAD,3.25719
123138,ACH-000486,907312,KU-19-19,BLCA,2.550293
123138,ACH-000489,909746,SW1116,COREAD,3.867565
123138,ACH-000491,908458,NCI-H716,COREAD,3.708981
123138,ACH-000493,909737,SNU-423,LIHC,2.503028
123138,ACH-000496,724868,NCI-H1792,LUAD,2.641569
123138,ACH-000501,907792,LS-123,COREAD,3.346218
123138,ACH-000505,1298539,RKN,UNCLASSIFIED,3.53452
123138,ACH-000510,724831,NCI-H1299,UNCLASSIFIED,3.578191
123138,ACH-000514,687997,NCI-H1092,SCLC,3.860075
123138,ACH-000516,1290765,CAL-78,UNCLASSIFIED,3.455197
123138,ACH-000518,753541,CAL-33,HNSC,2.813837
123138,ACH-000524,909975,KURAMOCHI,UNCLASSIFIED,3.769275
123138,ACH-000527,1240198,OVISE,OV,3.516357
123138,ACH-000528,906791,ABC-1,LUAD,2.336621
123138,ACH-000530,687983,DMS-114,SCLC,2.961674
123138,ACH-000532,1660035,SNU-61,COREAD,3.689548
123138,ACH-000535,906693,BxPC-3,PAAD,3.743747
123138,ACH-000536,906801,BT-20,BRCA,2.570027
123138,ACH-000538,907073,HuTu-80,UNCLASSIFIED,2.633324
123138,ACH-000544,1298359,OE21,ESCA,3.132841
123138,ACH-000546,907062,HSC-4,HNSC,3.177343
123138,ACH-000547,907065,HT-1197,BLCA,3.825178
123138,ACH-000551,905940,K-562,LCML,2.852253
123138,ACH-000552,905939,HT-29,COREAD,3.242042
123138,ACH-000555,905948,A498,KIRC,3.735719
123138,ACH-000556,930297,SiHa,CESC,3.063898
123138,ACH-000558,687563,A172,GBM,3.479567
123138,ACH-000560,906848,ECC10,UNCLASSIFIED,2.028896
123138,ACH-000562,1290908,HCC-78,LUAD,3.816888
123138,ACH-000563,753554,EBC-1,LUSC,3.274688
123138,ACH-000565,909263,RCM-1,COREAD,2.884541
123138,ACH-000566,909749,SW1710,BLCA,3.803781
123138,ACH-000567,910906,ST486,UNCLASSIFIED,2.182552
123138,ACH-000569,907173,IST-MES1,MESO,1.761372
123138,ACH-000571,687586,T98G,GBM,3.324715
123138,ACH-000572,906865,G-361,SKCM,3.114289
123138,ACH-000573,1240172,MDA-MB-436,BRCA,3.036456
123138,ACH-000577,1240157,JHH-2,LIHC,2.153415
123138,ACH-000579,905977,UACC-257,SKCM,2.948327
123138,ACH-000580,906830,C32,SKCM,2.705837
123138,ACH-000585,753556,EPLC-272H,LUSC,1.801532
123138,ACH-000586,1330972,NCI-H1876,SCLC,2.999268
123138,ACH-000587,924244,NCI-H1975,LUAD,1.848903
123138,ACH-000595,1240169,LN-229,GBM,3.434984
123138,ACH-000596,946361,LCLC-97TM1,UNCLASSIFIED,2.922737
123138,ACH-000599,1298526,PA-TU-8902,PAAD,4.563786
123138,ACH-000601,724870,MIA-PaCa-2,PAAD,3.261139
123138,ACH-000605,946355,TE-6,ESCA,3.373112
123138,ACH-000607,1240166,KYM-1,UNCLASSIFIED,2.838963
123138,ACH-000610,688018,NCI-H2227,SCLC,3.653465
123138,ACH-000611,1331037,SU-DHL-6,DLBC,1.878536
123138,ACH-000613,907060,HOS,UNCLASSIFIED,2.844578
123138,ACH-000616,1240151,Hs-746T,STAD,3.040378
123138,ACH-000617,905990,OVCAR-4,OV,2.716256
123138,ACH-000620,1298151,JHH-1,LIHC,2.501392
123138,ACH-000621,925338,MDA-MB-157,BRCA,3.413501
123138,ACH-000624,907047,HCC1806,UNCLASSIFIED,2.45433
123138,ACH-000625,1240147,Hep3B2-1-7,LIHC,1.859153
123138,ACH-000626,753615,U-266,MM,3.546475
123138,ACH-000627,753586,LCLC-103H,UNCLASSIFIED,3.784729
123138,ACH-000628,908459,NCI-H596,UNCLASSIFIED,3.358678
123138,ACH-000631,907313,KS-1,GBM,2.642643
123138,ACH-000637,753575,KYSE-520,ESCA,4.03832
123138,ACH-000638,908460,NCI-H441,LUAD,4.177784
123138,ACH-000639,1240189,NCI-H211,SCLC,2.863018
123138,ACH-000643,1290922,HDQ-P1,BRCA,3.511779
123138,ACH-000644,687448,COLO-829,SKCM,4.720098
123138,ACH-000647,753621,TE-1,ESCA,3.462313
123138,ACH-000648,908470,NCI-H28,MESO,4.711647
123138,ACH-000649,905947,786-0,KIRC,2.952488
123138,ACH-000650,1240153,IGR-37,SKCM,3.064087
123138,ACH-000651,905962,SW620,COREAD,3.879591
123138,ACH-000652,1240219,SUIT-2,PAAD,4.017407
123138,ACH-000653,1327766,JJN-3,MM,2.269775
123138,ACH-000654,909262,Raji,UNCLASSIFIED,1.440272
123138,ACH-000655,905986,SF268,GBM,3.750612
123138,ACH-000656,1331038,SU-DHL-8,DLBC,1.10274
123138,ACH-000657,906804,A2780,UNCLASSIFIED,2.560292
123138,ACH-000660,1331036,SU-DHL-5,DLBC,1.465934
123138,ACH-000662,687780,COR-L23,UNCLASSIFIED,3.391487
123138,ACH-000663,1298365,OVTOKO,OV,3.046849
123138,ACH-000665,909728,SK-MES-1,LUSC,3.695525
123138,ACH-000666,724866,NCI-H1355,LUAD,4.253787
123138,ACH-000667,1240145,HCC-44,LUAD,2.964557
123138,ACH-000668,907048,HCC70,BRCA,1.403192
123138,ACH-000670,713880,SBC-5,SCLC,2.701809
123138,ACH-000672,910779,IA-LM,UNCLASSIFIED,3.750535
123138,ACH-000674,1298357,NUGC-4,STAD,4.934322
123138,ACH-000677,724878,SW1573,LUAD,4.799612
123138,ACH-000679,910079,OE19,ESCA,2.680192
123138,ACH-000680,909757,SW948,COREAD,3.586471
123138,ACH-000681,905949,A549,LUAD,2.747227
123138,ACH-000691,749715,HCC2157,BRCA,0.485516
123138,ACH-000693,907318,KYSE-180,ESCA,1.784099
123138,ACH-000694,946353,TE-9,ESCA,3.277694
123138,ACH-000696,905991,OVCAR-8,OV,2.487127
123138,ACH-000697,910935,A3-KAW,DLBC,2.032528
123138,ACH-000698,907295,DMS-53,SCLC,3.250065
123138,ACH-000702,1330935,L-1236,UNCLASSIFIED,2.73439
123138,ACH-000703,753551,DMS-79,SCLC,3.026417
123138,ACH-000704,910548,OAW-42,OV,3.855337
123138,ACH-000706,905970,EKVX,LUAD,3.756036
123138,ACH-000711,1298157,JIMT-1,BRCA,3.089212
123138,ACH-000716,1240223,TT2609-C02,THCA,3.707001
123138,ACH-000717,906817,COLO-680N,ESCA,4.359913
123138,ACH-000720,687459,TCCSUP,BLCA,3.960991
123138,ACH-000722,910905,SNU-C1,COREAD,3.460417
123138,ACH-000729,688010,NCI-H1963,SCLC,2.497933
123138,ACH-000730,905956,SK-MEL-5,SKCM,3.304439
123138,ACH-000738,687568,GB-1,GBM,3.11527
123138,ACH-000740,906794,A253,UNCLASSIFIED,2.976307
123138,ACH-000744,687798,NCI-H1623,LUAD,2.515021
123138,ACH-000745,1330950,MOLP-8,MM,2.507125
123138,ACH-000749,687985,DMS-273,SCLC,2.142763
123138,ACH-000750,905974,LOXIMVI,SKCM,2.003457
123138,ACH-000751,1330985,OCI-M1,LAML,1.698565
123138,ACH-000752,1240186,NCI-H196,SCLC,3.414593
123138,ACH-000754,907322,L-428,UNCLASSIFIED,2.558957
123138,ACH-000756,906871,GI-1,LGG,1.658203
123138,ACH-000757,910851,A427,UNCLASSIFIED,2.555329
123138,ACH-000763,1659818,MM1S,MM,1.434243
123138,ACH-000767,688025,NCI-H526,SCLC,2.141004
123138,ACH-000768,905960,MDA-MB-231,BRCA,3.279209
123138,ACH-000769,687787,LK-2,LUSC,1.786963
123138,ACH-000775,724855,NCI-H727,UNCLASSIFIED,3.900508
123138,ACH-000776,909248,ONS-76,MB,2.849038
123138,ACH-000778,907061,HSC-3,HNSC,2.742173
123138,ACH-000781,1240187,NCI-H2023,LUAD,3.58102
123138,ACH-000783,946382,CAMA-1,BRCA,2.896247
123138,ACH-000784,753576,KYSE-70,ESCA,4.129993
123138,ACH-000786,906831,Daudi,UNCLASSIFIED,2.42172
123138,ACH-000787,753592,LXF-289,LUAD,1.220516
123138,ACH-000788,906792,A2058,SKCM,2.867091
123138,ACH-000789,925341,NCI-H810,UNCLASSIFIED,2.642912
123138,ACH-000790,724872,SHP-77,SCLC,1.72847
123138,ACH-000792,910698,BFTC-909,KIRC,2.727777
123138,ACH-000793,907276,KATOIII,STAD,4.64596
123138,ACH-000794,1240121,BICR22,HNSC,2.260859
123138,ACH-000795,908146,MOLT-13,ALL,2.298938
123138,ACH-000800,688023,NCI-H446,SCLC,2.050241
123138,ACH-000802,910926,BFTC-905,BLCA,1.668503
123138,ACH-000803,910692,COLO-668,SCLC,2.361596
123138,ACH-000805,906818,COLO-679,SKCM,2.437878
123138,ACH-000806,907323,L-540,UNCLASSIFIED,2.482203
123138,ACH-000809,753574,KYSE-410,ESCA,3.405474
123138,ACH-000811,905959,SK-OV-3,OV,3.050788
123138,ACH-000815,909976,KM-H2,UNCLASSIFIED,2.579102
123138,ACH-000816,908483,NCI-H524,SCLC,2.575409
123138,ACH-000817,905964,RPMI-8226,MM,2.289137
123138,ACH-000819,1240168,LN-18,GBM,1.926935
123138,ACH-000821,1297447,EJM,MM,2.626265
123138,ACH-000822,909725,SK-MEL-24,SKCM,2.737546
123138,ACH-000823,753573,KYSE-140,ESCA,2.3597
123138,ACH-000824,907321,KYSE-510,ESCA,2.213502
123138,ACH-000825,905973,HOP-92,UNCLASSIFIED,4.033279
123138,ACH-000827,1299081,WM793B,SKCM,2.757543
123138,ACH-000828,909907,ZR-75-30,BRCA,4.123126
123138,ACH-000832,910916,CAL-27,HNSC,3.435816
123138,ACH-000835,906999,GCT,UNCLASSIFIED,3.417937
123138,ACH-000838,1295741,AMO-1,MM,1.782134
123138,ACH-000840,1240144,HCC-366,UNCLASSIFIED,3.985289
123138,ACH-000841,724834,NCI-H2087,LUAD,4.195182
123138,ACH-000843,1240142,HARA,LUSC,3.215735
123138,ACH-000846,906863,FADU,HNSC,2.954608
123138,ACH-000847,907055,HGC-27,STAD,2.343889
123138,ACH-000848,1240160,JHH-7,LIHC,2.430966
123138,ACH-000849,908123,MDA-MB-468,BRCA,2.615513
123138,ACH-000852,1298347,NCI-H1435,LUAD,1.805032
123138,ACH-000853,687829,NCI-H661,UNCLASSIFIED,3.630451
123138,ACH-000856,910927,CAL-51,BRCA,2.863059
123138,ACH-000857,910852,CAL-85-1,BRCA,3.479747
123138,ACH-000858,753569,KNS-62,LUSC,3.253336
123138,ACH-000859,749709,HCC1954,BRCA,1.755218
123138,ACH-000860,908465,NCI-H358,LUAD,3.621851
123138,ACH-000861,905972,HOP-62,LUAD,3.621489
123138,ACH-000863,906835,DBTRG-05MG,GBM,4.672533
123138,ACH-000864,910691,COLO-684,UCEC,2.885838
123138,ACH-000865,907320,KYSE-450,ESCA,2.296175
123138,ACH-000866,687995,NCI-H1048,SCLC,1.960445
123138,ACH-000869,1298348,NCI-H1568,LUAD,3.151161
123138,ACH-000873,907319,KYSE-270,ESCA,3.119811
123138,ACH-000874,909703,RS4-11,ALL,2.020512
123138,ACH-000876,924240,MDA-MB-415,BRCA,1.11405
123138,ACH-000878,1240143,HCC-15,LUSC,2.087245
123138,ACH-000879,908130,MFE-296,UCEC,3.204409
123138,ACH-000880,906790,AGS,STAD,1.944305
123138,ACH-000881,908125,MEL-JUSO,SKCM,1.96585
123138,ACH-000882,907169,IGR-1,SKCM,2.121546
123138,ACH-000885,1240222,TOV-21G,OV,2.98835
123138,ACH-000888,908463,NCI-H1793,LUAD,2.980737
123138,ACH-000890,1299062,SW1271,SCLC,5.143503
123138,ACH-000892,753600,NCI-H1563,LUAD,2.267892
123138,ACH-000893,910900,NCI-H1651,LUAD,1.889984
123138,ACH-000894,1240183,NCI-H1869,LUSC,2.666163
123138,ACH-000896,906797,647-V,BLCA,2.290944
123138,ACH-000900,905942,NCI-H23,LUAD,2.146484
123138,ACH-000903,906864,FTC-133,THCA,3.311228
123138,ACH-000905,687452,5637,BLCA,2.883005
123138,ACH-000906,1240128,ES-2,UNCLASSIFIED,2.902286
123138,ACH-000910,908122,MDA-MB-453,BRCA,3.061504
123138,ACH-000911,908455,NUGC-3,STAD,3.233074
123138,ACH-000913,907000,ESS-1,UNCLASSIFIED,2.292103
123138,ACH-000917,1503371,TE-4,ESCA,1.701787
123138,ACH-000918,908147,MOLT-16,ALL,1.334102
123138,ACH-000919,1240155,IM-95,STAD,3.313674
123138,ACH-000920,910951,CML-T1,LCML,2.16835
123138,ACH-000926,907287,HT55,COREAD,3.592255
123138,ACH-000927,946359,BT-474,BRCA,3.650347
123138,ACH-000930,907046,HCC1569,BRCA,2.828376
123138,ACH-000932,908444,SNU-1,STAD,3.011891
123138,ACH-000934,908121,MDA-MB-361,BRCA,2.570963
123138,ACH-000935,1240173,MDST8,COREAD,2.159382
123138,ACH-000936,906852,EFO-27,UNCLASSIFIED,4.063568
123138,ACH-000937,909260,PF-382,ALL,2.140653
123138,ACH-000938,908158,NALM-6,UNCLASSIFIED,2.438647
123138,ACH-000939,909732,SK-UT-1,UNCLASSIFIED,3.135172
123138,ACH-000940,910781,AN3-CA,UCEC,2.935028
123138,ACH-000943,909698,RKO,COREAD,2.959879
123138,ACH-000944,908159,NAMALWA,UNCLASSIFIED,2.322859
123138,ACH-000945,722066,NCI-H650,LUAD,3.080332
123138,ACH-000947,1480371,OVK-18,OV,2.520216
123138,ACH-000948,910924,23132-87,STAD,2.952627
123138,ACH-000950,907790,LoVo,COREAD,2.912968
123138,ACH-000953,909743,SUP-T1,ALL,3.045728
123138,ACH-000955,1660034,SNU-407,COREAD,2.709509
123138,ACH-000956,924100,22RV1,PRAD,2.680711
123138,ACH-000957,998189,LS-180,COREAD,3.707514
123138,ACH-000958,909751,SW48,COREAD,1.422584
123138,ACH-000960,909696,REH,UNCLASSIFIED,2.423018
123138,ACH-000963,1240123,CCK-81,COREAD,2.165916
123138,ACH-000965,930082,RL95-2,UNCLASSIFIED,3.13806
